Name;Didok-Nummer;geopos;lod
Güttingen;8506124.0;47.597948311, 9.28773405596;http://lod.opentransportdata.swiss/didok/8506124
Gisikon-Root;8502201.0;47.1126370619, 8.38963320804;http://lod.opentransportdata.swiss/didok/8502201
Genève;8501008.0;46.2083180994, 6.14449245312;http://lod.opentransportdata.swiss/didok/8501008
Hedingen;8502223.0;47.302833555, 8.45206118427;http://lod.opentransportdata.swiss/didok/8502223
Goldach;8506305.0;47.4750027066, 9.46918501107;http://lod.opentransportdata.swiss/didok/8506305
Gossau SG;8506210.0;47.4223675637, 9.25488683135;http://lod.opentransportdata.swiss/didok/8506210
Hasle LU;8508212.0;46.9517407268, 8.07737482032;http://lod.opentransportdata.swiss/didok/8508212
Gland;8501031.0;46.4210019383, 6.27382328158;http://lod.opentransportdata.swiss/didok/8501031
Frinvillier-Taubenloch;8504301.0;47.1885461032, 7.28860695911;http://lod.opentransportdata.swiss/didok/8504301
Felben-Wellhausen;8506101.0;47.5774143731, 8.94142665168;http://lod.opentransportdata.swiss/didok/8506101
Feuerthalen;8503425.0;47.6871564948, 8.65282927166;http://lod.opentransportdata.swiss/didok/8503425
Eclépens;8501114.0;46.6527684561, 6.54373595358;http://lod.opentransportdata.swiss/didok/8501114
Frauenfeld;8506100.0;47.559409063, 8.89757810316;http://lod.opentransportdata.swiss/didok/8506100
Ermensee;8502019.0;47.2267816005, 8.23550799997;http://lod.opentransportdata.swiss/didok/8502019
Etzwilen;8506025.0;47.6594475569, 8.82832436059;http://lod.opentransportdata.swiss/didok/8506025
Feldbach;8503109.0;47.2540594278, 8.76979488463;http://lod.opentransportdata.swiss/didok/8503109
Erstfeld;8505114.0;46.8136384053, 8.60051841905;http://lod.opentransportdata.swiss/didok/8505114
Egnach;8506309.0;47.5302990362, 9.36655115139;http://lod.opentransportdata.swiss/didok/8506309
Courtételle;8500120.0;47.3323716572, 7.31857355132;http://lod.opentransportdata.swiss/didok/8500120
Cortébert;8504306.0;47.1770737391, 7.11202732907;http://lod.opentransportdata.swiss/didok/8504306
Courgenay;8500125.0;47.3943271284, 7.12273857374;http://lod.opentransportdata.swiss/didok/8500125
Dielsdorf;8503315.0;47.4778390241, 8.45555199487;http://lod.opentransportdata.swiss/didok/8503315
Dietlikon;8503306.0;47.4253328385, 8.61644508791;http://lod.opentransportdata.swiss/didok/8503306
Dompierre;8504124.0;46.8499305214, 7.01506969048;http://lod.opentransportdata.swiss/didok/8504124
Duggingen;8500116.0;47.4526344071, 7.61054908509;http://lod.opentransportdata.swiss/didok/8500116
Düdingen;8504101.0;46.8460428638, 7.19198335829;http://lod.opentransportdata.swiss/didok/8504101
Cressier NE;8504224.0;47.0526750819, 7.02754360025;http://lod.opentransportdata.swiss/didok/8504224
Deitingen;8500209.0;47.2193092758, 7.6216903614;http://lod.opentransportdata.swiss/didok/8500209
Chaux-de-Fonds, La;8504314.0;47.1115126997, 6.83428620291;http://lod.opentransportdata.swiss/didok/8504314
Buchs-Dällikon;8503527.0;47.4601772382, 8.43841930412;http://lod.opentransportdata.swiss/didok/8503527
Corcelles-Nord;8504123.0;46.8436948605, 6.96808327404;http://lod.opentransportdata.swiss/didok/8504123
Corcelles-Sud;8504135.0;46.8436948605, 6.96808327404;http://lod.opentransportdata.swiss/didok/8504135
Bütschwil;8506203.0;47.3619588936, 9.07999633274;http://lod.opentransportdata.swiss/didok/8506203
Bussnang;8506190.0;47.5418828939, 9.09788007483;http://lod.opentransportdata.swiss/didok/8506190
Aarberg;8504404.0;47.047444284, 7.28383883857;http://lod.opentransportdata.swiss/didok/8504404
Aadorf;8506013.0;47.4945274405, 8.91136492557;http://lod.opentransportdata.swiss/didok/8506013
Siggenthal-Würenlingen;8503502.0;47.5081054244, 8.25757453805;http://lod.opentransportdata.swiss/didok/8503502
Steinhausen Rigiblick;8518459.0;47.1998996751, 8.48829366677;http://lod.opentransportdata.swiss/didok/8518459
Sempach-Neuenkirch;8502009.0;47.1053234787, 8.20326327528;http://lod.opentransportdata.swiss/didok/8502009
Stein am Rhein;8506139.0;47.6675223495, 8.85938120995;http://lod.opentransportdata.swiss/didok/8506139
Solothurn West;8500206.0;47.2096905323, 7.53101749712;http://lod.opentransportdata.swiss/didok/8500206
Sonvilier;8504311.0;47.1435644649, 6.95314102585;http://lod.opentransportdata.swiss/didok/8504311
Selzach;8500204.0;47.2186136617, 7.44936806763;http://lod.opentransportdata.swiss/didok/8500204
Staad;8506312.0;47.4798872142, 9.55810969446;http://lod.opentransportdata.swiss/didok/8506312
Sion;8501506.0;46.2241745496, 7.36581835844;http://lod.opentransportdata.swiss/didok/8501506
Dornach-Arlesheim;8500118.0;47.4779669637, 7.62527130954;http://lod.opentransportdata.swiss/didok/8500118
Charrat-Fully;8501501.0;46.1225747534, 7.13782171131;http://lod.opentransportdata.swiss/didok/8501501
Freienbach SBB;8503210.0;47.2025642434, 8.77428123325;http://lod.opentransportdata.swiss/didok/8503210
Ermatingen;8506133.0;47.6575201556, 9.09299563233;http://lod.opentransportdata.swiss/didok/8506133
Ecublens-Rue;8504018.0;46.6166389294, 6.80788760154;http://lod.opentransportdata.swiss/didok/8504018
Dulliken;8502110.0;47.3461462411, 7.94726067778;http://lod.opentransportdata.swiss/didok/8502110
Ependes;8501110.0;46.7461126483, 6.60350670971;http://lod.opentransportdata.swiss/didok/8501110
Flamatt;8504103.0;46.87077747, 7.32733412941;http://lod.opentransportdata.swiss/didok/8504103
Flums;8509413.0;47.0610698817, 9.29828808055;http://lod.opentransportdata.swiss/didok/8509413
Faoug;8504127.0;46.903859854, 7.07519317054;http://lod.opentransportdata.swiss/didok/8504127
Killwangen-Spreitenbach;8503506.0;47.4293537717, 8.34536396922;http://lod.opentransportdata.swiss/didok/8503506
Landschlacht;8588122.0;47.6268327234, 9.23681841416;http://lod.opentransportdata.swiss/didok/8588122
Koblenz Dorf;8503411.0;47.6057814303, 8.24584097299;http://lod.opentransportdata.swiss/didok/8503411
Konolfingen;8508202.0;46.8878982381, 7.60910009923;http://lod.opentransportdata.swiss/didok/8508202
Kilchberg;8503200.0;47.3231695927, 8.54450003124;http://lod.opentransportdata.swiss/didok/8503200
Lausanne;8501120.0;46.550825219, 6.65848965519;http://lod.opentransportdata.swiss/didok/8501120
Kollbrunn;8506004.0;47.45226946, 8.81000523736;http://lod.opentransportdata.swiss/didok/8506004
Lengwil;8506196.0;47.6140141784, 9.20174069446;http://lod.opentransportdata.swiss/didok/8506196
Lachen;8503220.0;47.1985300939, 8.85529201972;http://lod.opentransportdata.swiss/didok/8503220
Laufen;8500113.0;47.4115067019, 7.49111786452;http://lod.opentransportdata.swiss/didok/8500113
Hünenberg Chämleten;8502306.0;47.1923249132, 8.42121643987;http://lod.opentransportdata.swiss/didok/8502306
Holderbank AG;8502128.0;47.4323105785, 8.17173337136;http://lod.opentransportdata.swiss/didok/8502128
Hüntwangen-Wil;8503403.0;47.574744381, 8.5272082105;http://lod.opentransportdata.swiss/didok/8503403
Hitzkirch;8502027.0;47.2237027147, 8.27599750186;http://lod.opentransportdata.swiss/didok/8502027
Kemptthal;8503304.0;47.4455023634, 8.6835020757;http://lod.opentransportdata.swiss/didok/8503304
Islikon;8506019.0;47.5493685671, 8.85520566412;http://lod.opentransportdata.swiss/didok/8506019
Kehlhof;8506193.0;47.5809109986, 9.17088320695;http://lod.opentransportdata.swiss/didok/8506193
Kerzers;8504400.0;46.9825251581, 7.19964088928;http://lod.opentransportdata.swiss/didok/8504400
Kesswil;8506123.0;47.5889870367, 9.31425960301;http://lod.opentransportdata.swiss/didok/8506123
Illnau;8503303.0;47.4311656558, 8.72474332664;http://lod.opentransportdata.swiss/didok/8503303
Frenkendorf-Füllinsdorf;8500022.0;47.5023675725, 7.69804836124;http://lod.opentransportdata.swiss/didok/8500022
Herrliberg-Feldmeilen;8503103.0;47.2586380292, 8.66459588826;http://lod.opentransportdata.swiss/didok/8503103
Fribourg/Freiburg;8504100.0;46.8054534632, 7.16061182849;http://lod.opentransportdata.swiss/didok/8504100
Genthod-Bellevue;8501021.0;46.255912079, 6.14603212348;http://lod.opentransportdata.swiss/didok/8501021
Genève-Sécheron;8516283.0;46.2083180994, 6.14449245312;http://lod.opentransportdata.swiss/didok/8516283
Gelfingen;8502026.0;47.2237027147, 8.27599750186;http://lod.opentransportdata.swiss/didok/8502026
Grolley;8504138.0;46.8360135946, 7.06675592765;http://lod.opentransportdata.swiss/didok/8504138
Galmiz;8504129.0;46.9592423867, 7.14528842849;http://lod.opentransportdata.swiss/didok/8504129
Gampel-Steg;8501603.0;;http://lod.opentransportdata.swiss/didok/8501603
Grandson;8504201.0;;http://lod.opentransportdata.swiss/didok/8504201
Corcelles-Peseux;8504232.0;46.9721939073, 6.85719222157;http://lod.opentransportdata.swiss/didok/8504232
Courfaivre;8500121.0;47.3198431124, 7.24313447644;http://lod.opentransportdata.swiss/didok/8500121
Domdidier;8504125.0;46.8499305214, 7.01506969048;http://lod.opentransportdata.swiss/didok/8504125
Dotzigen;8500220.0;47.1273978764, 7.34964798991;http://lod.opentransportdata.swiss/didok/8500220
Bürglen;8506106.0;47.5521705894, 9.16115827771;http://lod.opentransportdata.swiss/didok/8506106
Cormoret;8504308.0;47.1660796884, 7.04783042498;http://lod.opentransportdata.swiss/didok/8504308
Cheyres;8504131.0;46.8265595373, 6.78631645624;http://lod.opentransportdata.swiss/didok/8504131
Cottens;8504026.0;46.7544960998, 7.03710116404;http://lod.opentransportdata.swiss/didok/8504026
Champ-du-Moulin;8504217.0;;http://lod.opentransportdata.swiss/didok/8504217
Burier;8501202.0;;http://lod.opentransportdata.swiss/didok/8501202
Pratteln Salina Raurica;8517131.0;47.5198794834, 7.6937147722;http://lod.opentransportdata.swiss/didok/8517131
Pfäffikon SZ;8503209.0;47.2025642434, 8.77428123325;http://lod.opentransportdata.swiss/didok/8503209
Porrentruy;8500126.0;47.4226757846, 7.07189221853;http://lod.opentransportdata.swiss/didok/8500126
la Plaine;8501001.0;46.1997320183, 5.98979689642;http://lod.opentransportdata.swiss/didok/8501001
Pully-Nord;8504000.0;46.5227224676, 6.67033758;http://lod.opentransportdata.swiss/didok/8504000
Bronschhofen AMP;8506188.0;47.4757171459, 9.05175005031;http://lod.opentransportdata.swiss/didok/8506188
Basel St. Johann;8500016.0;47.5591452444, 7.59458004936;http://lod.opentransportdata.swiss/didok/8500016
Beinwil am See;8502034.0;47.267844351, 8.20966946172;http://lod.opentransportdata.swiss/didok/8502034
Bellinzona;8505213.0;46.2011150625, 9.02374679599;http://lod.opentransportdata.swiss/didok/8505213
Ambri-Piotta;8505202.0;46.5294255203, 8.71287271606;http://lod.opentransportdata.swiss/didok/8505202
Bettwiesen;8506182.0;47.499042393, 9.01990179187;http://lod.opentransportdata.swiss/didok/8506182
Avenches;8504126.0;46.8823871188, 7.04105374826;http://lod.opentransportdata.swiss/didok/8504126
Arnegg;8506211.0;47.4223675637, 9.25488683135;http://lod.opentransportdata.swiss/didok/8506211
Biasca;8505209.0;46.3677015333, 9.02385927718;http://lod.opentransportdata.swiss/didok/8505209
Ardon;8501505.0;46.2312046583, 7.23886511321;http://lod.opentransportdata.swiss/didok/8501505
Neuchâtel-Serrières;8504220.0;47.0106288909, 6.93893723385;http://lod.opentransportdata.swiss/didok/8504220
Niederweningen Dorf;8503318.0;47.504284451, 8.37615483266;http://lod.opentransportdata.swiss/didok/8503318
Neuhausen Rheinfall;8518924.0;47.68062758, 8.60056586111;http://lod.opentransportdata.swiss/didok/8518924
Oberwangen;8504117.0;46.9056189406, 7.39874399407;http://lod.opentransportdata.swiss/didok/8504117
Oberkirch;8502011.0;47.1562407366, 8.10800420369;http://lod.opentransportdata.swiss/didok/8502011
Neuenhof;8503511.0;47.4454647925, 8.32622789667;http://lod.opentransportdata.swiss/didok/8503511
Neuhausen;8503423.0;47.68062758, 8.60056586111;http://lod.opentransportdata.swiss/didok/8503423
Payerne;8504134.0;46.820431655, 6.9356136464;http://lod.opentransportdata.swiss/didok/8504134
Neyruz;8504027.0;46.769270229, 7.0657899522;http://lod.opentransportdata.swiss/didok/8504027
Oron;8504020.0;46.5599590996, 6.83301277824;http://lod.opentransportdata.swiss/didok/8504020
Münsterlingen Spital;8506143.0;47.6268327234, 9.23681841416;http://lod.opentransportdata.swiss/didok/8506143
Münchenbuchsee;8504411.0;47.0194605511, 7.44952215733;http://lod.opentransportdata.swiss/didok/8504411
Lütisburg;8506204.0;47.3619588936, 9.07999633274;http://lod.opentransportdata.swiss/didok/8506204
Lyss Grien;8518749.0;47.0826067664, 7.3183687944;http://lod.opentransportdata.swiss/didok/8518749
Ligerz;8504227.0;47.0776201419, 7.15861612938;http://lod.opentransportdata.swiss/didok/8504227
Lucens;8504121.0;46.7161333554, 6.83262736387;http://lod.opentransportdata.swiss/didok/8504121
Meyrin;8501006.0;46.2119780617, 6.09537645209;http://lod.opentransportdata.swiss/didok/8501006
Männedorf;8503106.0;;http://lod.opentransportdata.swiss/didok/8503106
Locarno;8505400.0;;http://lod.opentransportdata.swiss/didok/8505400
Meilen;8503104.0;;http://lod.opentransportdata.swiss/didok/8503104
Räterschen;8506015.0;47.5039622463, 8.80910350218;http://lod.opentransportdata.swiss/didok/8506015
Rekingen AG;8503408.0;47.5684236191, 8.32272907108;http://lod.opentransportdata.swiss/didok/8503408
Roche VD;8501304.0;46.3610377727, 6.92608352511;http://lod.opentransportdata.swiss/didok/8501304
Reiden;8502003.0;47.2339754699, 7.9636309061;http://lod.opentransportdata.swiss/didok/8502003
Dottikon-Dintikon;8502212.0;47.349450247, 8.24273769265;http://lod.opentransportdata.swiss/didok/8502212
Denges-Echandens;8501045.0;46.5246405289, 6.5398274079;http://lod.opentransportdata.swiss/didok/8501045
Essert-Pittet;8501111.0;46.7101031607, 6.58149706517;http://lod.opentransportdata.swiss/didok/8501111
Eschenbach;8502022.0;47.1267576792, 8.31321815122;http://lod.opentransportdata.swiss/didok/8502022
Döttingen;8503501.0;47.5613573361, 8.25408674707;http://lod.opentransportdata.swiss/didok/8503501
Erlenbach ZH;8503102.0;47.3060119897, 8.60828174332;http://lod.opentransportdata.swiss/didok/8503102
Emmenmatt;8508206.0;46.9623152774, 7.74894807348;http://lod.opentransportdata.swiss/didok/8508206
Entlebuch;8508213.0;46.977471855, 8.10992680806;http://lod.opentransportdata.swiss/didok/8508213
Dietikon;8503508.0;47.4033744108, 8.39933086639;http://lod.opentransportdata.swiss/didok/8503508
le Day;8501104.0;46.7091217509, 6.3721840695;http://lod.opentransportdata.swiss/didok/8501104
Kurzrickenbach Seepark;8506119.0;47.6411934953, 9.17396510841;http://lod.opentransportdata.swiss/didok/8506119
Kerzers Papiliorama;8516444.0;46.9825251581, 7.19964088928;http://lod.opentransportdata.swiss/didok/8516444
Kölliken Oberdorf;8502122.0;47.3349464028, 8.02198254078;http://lod.opentransportdata.swiss/didok/8502122
Hünenberg Zythus;8515996.0;47.1923249132, 8.42121643987;http://lod.opentransportdata.swiss/didok/8515996
Kaiseraugst;8500300.0;47.5375575845, 7.74307503481;http://lod.opentransportdata.swiss/didok/8500300
Langwiesen;8503426.0;47.6871564948, 8.65282927166;http://lod.opentransportdata.swiss/didok/8503426
Kempraten;8503112.0;47.2300252153, 8.85584994139;http://lod.opentransportdata.swiss/didok/8503112
Kempten;8503300.0;47.3257378629, 8.80579656897;http://lod.opentransportdata.swiss/didok/8503300
Jona;8503120.0;47.2300252153, 8.85584994139;http://lod.opentransportdata.swiss/didok/8503120
Jestetten;8503421.0;;http://lod.opentransportdata.swiss/didok/8503421
Le Crêt-du-Locle;8504315.0;47.1115126997, 6.83428620291;http://lod.opentransportdata.swiss/didok/8504315
Creux-de-Genthod;8501012.0;46.2648450406, 6.16253985782;http://lod.opentransportdata.swiss/didok/8501012
Cham Alpenblick;8515995.0;47.2006432766, 8.44952483663;http://lod.opentransportdata.swiss/didok/8515995
Brittnau-Wikon;8502002.0;47.2690673624, 7.98005518217;http://lod.opentransportdata.swiss/didok/8502002
Corgémont;8504305.0;47.1923448821, 7.13953624621;http://lod.opentransportdata.swiss/didok/8504305
Courchavon;8500141.0;47.439617221, 7.04722479323;http://lod.opentransportdata.swiss/didok/8500141
Cadenazzo;8505404.0;46.1477904383, 8.95114466443;http://lod.opentransportdata.swiss/didok/8505404
Dachsen;8506049.0;47.6618059228, 8.62579669319;http://lod.opentransportdata.swiss/didok/8506049
Concise;8504203.0;;http://lod.opentransportdata.swiss/didok/8504203
Cully;8501124.0;;http://lod.opentransportdata.swiss/didok/8501124
Linthal Braunwaldbahn;8503240.0;46.9284024802, 9.07907929418;http://lod.opentransportdata.swiss/didok/8503240
Läufelfingen;8500035.0;47.394986741, 7.85676216558;http://lod.opentransportdata.swiss/didok/8500035
Léchelles;8504137.0;46.8499305214, 7.01506969048;http://lod.opentransportdata.swiss/didok/8504137
Liestal;8500023.0;47.4867978791, 7.72668362483;http://lod.opentransportdata.swiss/didok/8500023
Linthal;8503239.0;46.9284024802, 9.07907929418;http://lod.opentransportdata.swiss/didok/8503239
Lausen;8500024.0;47.4719588583, 7.76657724847;http://lod.opentransportdata.swiss/didok/8500024
Littau;8508219.0;47.0562397859, 8.29182679396;http://lod.opentransportdata.swiss/didok/8508219
Les Hauts-Geneveys;8504237.0;47.0603310326, 6.91396203545;http://lod.opentransportdata.swiss/didok/8504237
Granges-Marnand;8504122.0;46.7638957436, 6.84992889656;http://lod.opentransportdata.swiss/didok/8504122
Hindelbank;8508003.0;47.0431101345, 7.54421004481;http://lod.opentransportdata.swiss/didok/8508003
Grellingen;8500115.0;47.4403535382, 7.58762713899;http://lod.opentransportdata.swiss/didok/8500115
Giubiasco;8505214.0;46.1737589267, 9.00198929487;http://lod.opentransportdata.swiss/didok/8505214
Glattbrugg;8503310.0;47.4315360705, 8.5730568092;http://lod.opentransportdata.swiss/didok/8503310
Grandvaux;8504011.0;46.5025110916, 6.73118277288;http://lod.opentransportdata.swiss/didok/8504011
Gordola;8505402.0;46.1894566199, 8.86475946766;http://lod.opentransportdata.swiss/didok/8505402
Faido;8505204.0;46.4501173801, 8.81812612448;http://lod.opentransportdata.swiss/didok/8505204
Frick;8500305.0;47.5110718686, 8.0152169003;http://lod.opentransportdata.swiss/didok/8500305
Baldegg Kloster;8516353.0;47.1657574261, 8.29172354409;http://lod.opentransportdata.swiss/didok/8516353
Basel Dreispitz;8500136.0;47.5591452444, 7.59458004936;http://lod.opentransportdata.swiss/didok/8500136
Bischofszell Nord;8506215.0;47.4970335495, 9.21705998696;http://lod.opentransportdata.swiss/didok/8506215
Basel St. Jakob;8500038.0;47.5591452444, 7.59458004936;http://lod.opentransportdata.swiss/didok/8500038
Belfaux CFF;8504139.0;46.8266897367, 7.09070111608;http://lod.opentransportdata.swiss/didok/8504139
Bevaix;8504206.0;46.9324610358, 6.80503325156;http://lod.opentransportdata.swiss/didok/8504206
Boudry;8504208.0;46.9543970789, 6.80874847314;http://lod.opentransportdata.swiss/didok/8504208
Bargen;8504403.0;47.0375126401, 7.24556892332;http://lod.opentransportdata.swiss/didok/8504403
Brig;8501609.0;46.2895968118, 7.97996640051;http://lod.opentransportdata.swiss/didok/8501609
Bex;8501402.0;46.2568479022, 7.08993091534;http://lod.opentransportdata.swiss/didok/8501402
le Locle-Col-des-Roches;8504317.0;47.0545148634, 6.74903499138;http://lod.opentransportdata.swiss/didok/8504317
Lonay-Préverenges;8501048.0;46.5311465557, 6.51781817443;http://lod.opentransportdata.swiss/didok/8501048
le Locle;8504316.0;47.0545148634, 6.74903499138;http://lod.opentransportdata.swiss/didok/8504316
Maienfeld;8509003.0;47.0284318179, 9.56386439587;http://lod.opentransportdata.swiss/didok/8509003
Malters;8508218.0;47.0441725399, 8.19120597048;http://lod.opentransportdata.swiss/didok/8508218
Mammern;8506137.0;47.6426095404, 8.92015367706;http://lod.opentransportdata.swiss/didok/8506137
Matran;8504029.0;46.7851932921, 7.09179130246;http://lod.opentransportdata.swiss/didok/8504029
Münsterlingen-Scherzingen;8506126.0;47.6268327234, 9.23681841416;http://lod.opentransportdata.swiss/didok/8506126
Oberentfelden;8502102.0;47.3555743101, 8.0423083671;http://lod.opentransportdata.swiss/didok/8502102
Murten/Morat;8504128.0;46.9277903806, 7.14793832026;http://lod.opentransportdata.swiss/didok/8504128
Murgenthal;8508102.0;47.2593782179, 7.85615460169;http://lod.opentransportdata.swiss/didok/8508102
Münsingen;8507006.0;46.88273057, 7.57160289211;http://lod.opentransportdata.swiss/didok/8507006
Monthey;8501421.0;46.2467091645, 6.94856540256;http://lod.opentransportdata.swiss/didok/8501421
Muttenz;8500020.0;47.5262386939, 7.65002525926;http://lod.opentransportdata.swiss/didok/8500020
Meggen;8505001.0;47.0462343068, 8.37544923629;http://lod.opentransportdata.swiss/didok/8505001
Mumpf;8500303.0;47.5464701083, 7.91451141622;http://lod.opentransportdata.swiss/didok/8500303
Mols;8509415.0;47.0913830538, 9.22417331506;http://lod.opentransportdata.swiss/didok/8509415
Oberwinterthur;8506016.0;47.4981247953, 8.73533711725;http://lod.opentransportdata.swiss/didok/8506016
Otelfingen;8503528.0;47.4657941507, 8.39109438881;http://lod.opentransportdata.swiss/didok/8503528
Quartino;8505405.0;46.1237357367, 8.83341740326;http://lod.opentransportdata.swiss/didok/8505405
Pfungen;8506042.0;47.5125645202, 8.64364122745;http://lod.opentransportdata.swiss/didok/8506042
Pratteln;8500021.0;47.5198794834, 7.6937147722;http://lod.opentransportdata.swiss/didok/8500021
Olten;8500218.0;47.3462406235, 7.90120042243;http://lod.opentransportdata.swiss/didok/8500218
Raron;8501604.0;46.3442314447, 7.82820899405;http://lod.opentransportdata.swiss/didok/8501604
Affoltern am Albis;8502224.0;47.2830202628, 8.45141544917;http://lod.opentransportdata.swiss/didok/8502224
Aarburg-Oftringen;8502000.0;47.3255445374, 7.90839521009;http://lod.opentransportdata.swiss/didok/8502000
Arth-Goldau;8505004.0;47.0585475913, 8.52866344285;http://lod.opentransportdata.swiss/didok/8505004
Altendorf;8503211.0;47.1776295859, 8.82895197771;http://lod.opentransportdata.swiss/didok/8503211
Bad Zurzach;8503409.0;47.5872909291, 8.29304883783;http://lod.opentransportdata.swiss/didok/8503409
Amriswil;8506109.0;47.5441632871, 9.28837002301;http://lod.opentransportdata.swiss/didok/8506109
Bad Ragaz;8509004.0;46.9981210344, 9.47458240818;http://lod.opentransportdata.swiss/didok/8509004
Aigle;8501400.0;46.3162766455, 6.97336374511;http://lod.opentransportdata.swiss/didok/8501400
Reuchenette-Péry;8504302.0;47.1969872553, 7.24882537292;http://lod.opentransportdata.swiss/didok/8504302
Rivera-Bironico;8505216.0;46.1143896831, 8.92343891567;http://lod.opentransportdata.swiss/didok/8505216
Roggwil-Wynau;8508101.0;47.2379509012, 7.8192387655;http://lod.opentransportdata.swiss/didok/8508101
S. Antonino;8505415.0;46.1544663591, 8.97473790707;http://lod.opentransportdata.swiss/didok/8505415
Rothenburg;8502020.0;47.1060693688, 8.26459602598;http://lod.opentransportdata.swiss/didok/8502020
Renens VD;8501118.0;46.5294449994, 6.57706193095;http://lod.opentransportdata.swiss/didok/8501118
Rietheim;8503410.0;47.6042909278, 8.27499955109;http://lod.opentransportdata.swiss/didok/8503410
Renan BE;8504312.0;47.1119915402, 6.90420370102;http://lod.opentransportdata.swiss/didok/8504312
Salgesch;8501600.0;46.3146525295, 7.5757152896;http://lod.opentransportdata.swiss/didok/8501600
Root D4;8515997.0;47.1126370619, 8.38963320804;http://lod.opentransportdata.swiss/didok/8515997
Schloss Laufen am Rheinfall;8506039.0;47.6716525615, 8.64463798298;http://lod.opentransportdata.swiss/didok/8506039
le Landeron;8504225.0;47.0656824684, 7.05839266856;http://lod.opentransportdata.swiss/didok/8504225
Kaltbrunn;8503117.0;47.2113530548, 9.05028847428;http://lod.opentransportdata.swiss/didok/8503117
Klingnau;8516176.0;47.5900233737, 8.25176976719;http://lod.opentransportdata.swiss/didok/8516176
Koblenz;8500329.0;47.6057814303, 8.24584097299;http://lod.opentransportdata.swiss/didok/8500329
Kradolf;8506216.0;47.5194538559, 9.18048539651;http://lod.opentransportdata.swiss/didok/8506216
Küsnacht Goldbach;8503141.0;;http://lod.opentransportdata.swiss/didok/8503141
Cossonay-Penthalaz;8501115.0;46.6140536834, 6.52990921625;http://lod.opentransportdata.swiss/didok/8501115
Chexbres-Village;8504013.0;46.4856029965, 6.78091989998;http://lod.opentransportdata.swiss/didok/8504013
Conversion, La;8504010.0;46.5096178877, 6.67445684696;http://lod.opentransportdata.swiss/didok/8504010
Colombier;8504209.0;46.9721939073, 6.85719222157;http://lod.opentransportdata.swiss/didok/8504209
Collombey;8501422.0;46.2813100013, 6.91186065055;http://lod.opentransportdata.swiss/didok/8501422
Clarens;8501203.0;46.4530240461, 6.94159049467;http://lod.opentransportdata.swiss/didok/8501203
Chiasso;8505307.0;45.8299831345, 9.01771896965;http://lod.opentransportdata.swiss/didok/8505307
Coppet;8501023.0;46.3225904898, 6.18981504312;http://lod.opentransportdata.swiss/didok/8501023
Chur;8509000.0;46.8534076304, 9.53093302125;http://lod.opentransportdata.swiss/didok/8509000
Corseaux-Cornalles;8504040.0;;http://lod.opentransportdata.swiss/didok/8504040
Luchsingen-Hätzingen;8503236.0;46.9284024802, 9.07907929418;http://lod.opentransportdata.swiss/didok/8503236
Mendrisio S. Martino;8518475.0;45.8864221989, 8.96919973893;http://lod.opentransportdata.swiss/didok/8518475
Malleray-Bévilard;8500102.0;47.2390802513, 7.27134656092;http://lod.opentransportdata.swiss/didok/8500102
Maroggia-Melano;8505303.0;45.9377022331, 8.97230477763;http://lod.opentransportdata.swiss/didok/8505303
Magadino-Vira;8505406.0;46.1237357367, 8.83341740326;http://lod.opentransportdata.swiss/didok/8505406
Lenzburg;8502119.0;47.3869018981, 8.18158390584;http://lod.opentransportdata.swiss/didok/8502119
Mendrisio;8505305.0;45.8864221989, 8.96919973893;http://lod.opentransportdata.swiss/didok/8505305
Moreillon;8504007.0;46.5105029505, 6.78791287004;http://lod.opentransportdata.swiss/didok/8504007
Mitlödi;8503232.0;46.9284024802, 9.07907929418;http://lod.opentransportdata.swiss/didok/8503232
Morges;8501037.0;46.5152789615, 6.49400137708;http://lod.opentransportdata.swiss/didok/8501037
La Neuveville;8504226.0;47.0776201419, 7.15861612938;http://lod.opentransportdata.swiss/didok/8504226
Mörschwil;8506304.0;47.4689428161, 9.42742281978;http://lod.opentransportdata.swiss/didok/8506304
Mühlehorn;8509418.0;47.1016776074, 9.06983670873;http://lod.opentransportdata.swiss/didok/8509418
Oberriet;8509400.0;47.3362551272, 9.56484260076;http://lod.opentransportdata.swiss/didok/8509400
Oberaach;8506108.0;47.5441632871, 9.28837002301;http://lod.opentransportdata.swiss/didok/8506108
Ossingen;8506023.0;47.6142233056, 8.7222709596;http://lod.opentransportdata.swiss/didok/8506023
Nebikon;8502005.0;47.1927935177, 7.98116787139;http://lod.opentransportdata.swiss/didok/8502005
Mosen;8502029.0;47.2432244391, 8.22809770396;http://lod.opentransportdata.swiss/didok/8502029
Morges-St-Jean;8501047.0;;http://lod.opentransportdata.swiss/didok/8501047
le Pont;8501100.0;;http://lod.opentransportdata.swiss/didok/8501100
Pontenet;8500135.0;47.2390802513, 7.27134656092;http://lod.opentransportdata.swiss/didok/8500135
Bern Wankdorf;8516161.0;46.9489028306, 7.40730463004;http://lod.opentransportdata.swiss/didok/8516161
Bassecourt;8500122.0;47.3198431124, 7.24313447644;http://lod.opentransportdata.swiss/didok/8500122
Baar Neufeld;8515992.0;47.1967942026, 8.5381431962;http://lod.opentransportdata.swiss/didok/8515992
Bettlach;8500203.0;47.209899726, 7.41985191033;http://lod.opentransportdata.swiss/didok/8500203
