Name;Didok-Nummer;geopos;lod
Hettlingen;8506045.0;47.5509265667, 8.70740268824;http://lod.opentransportdata.swiss/didok/8506045
Göschenen;8505119.0;46.6652153179, 8.4998933472;http://lod.opentransportdata.swiss/didok/8505119
Hochdorf;8502024.0;47.1657574261, 8.29172354409;http://lod.opentransportdata.swiss/didok/8502024
Hauptwil;8506212.0;47.4909618394, 9.28139147129;http://lod.opentransportdata.swiss/didok/8506212
Hallwil;8502031.0;47.3278182092, 8.17899126658;http://lod.opentransportdata.swiss/didok/8502031
Biel Bözingerfeld;8518771.0;47.1505375233, 7.26202618686;http://lod.opentransportdata.swiss/didok/8518771
Bonstetten-Wettswil;8502222.0;47.3180062342, 8.46736959422;http://lod.opentransportdata.swiss/didok/8502222
Bischofszell Stadt;8506213.0;47.4970335495, 9.21705998696;http://lod.opentransportdata.swiss/didok/8506213
Bronschhofen;8506181.0;47.4757171459, 9.05175005031;http://lod.opentransportdata.swiss/didok/8506181
Birmensdorf ZH;8502221.0;47.3552707941, 8.43570995647;http://lod.opentransportdata.swiss/didok/8502221
Brugg AG;8500309.0;47.4870192757, 8.20904248809;http://lod.opentransportdata.swiss/didok/8500309
Boncourt;8500128.0;47.4893654532, 7.00847443825;http://lod.opentransportdata.swiss/didok/8500128
Bubikon;8503122.0;47.2677922617, 8.8093366564;http://lod.opentransportdata.swiss/didok/8503122
Bilten;8503224.0;47.1016776074, 9.06983670873;http://lod.opentransportdata.swiss/didok/8503224
Brunnen;8505007.0;47.003062572, 8.5970137792;http://lod.opentransportdata.swiss/didok/8505007
Emmenbrücke Gersag;8502028.0;47.0879044211, 8.28731356998;http://lod.opentransportdata.swiss/didok/8502028
Estavayer-le-Lac;8504132.0;46.86359248, 6.86017812894;http://lod.opentransportdata.swiss/didok/8504132
Embrach-Rorbas;8506041.0;47.5098787955, 8.59871444171;http://lod.opentransportdata.swiss/didok/8506041
Gelterkinden;8500027.0;47.4582802009, 7.8595219456;http://lod.opentransportdata.swiss/didok/8500027
Escholzmatt;8508210.0;46.8895415825, 7.9278008679;http://lod.opentransportdata.swiss/didok/8508210
Fräschels;8504401.0;46.9992517481, 7.2090881155;http://lod.opentransportdata.swiss/didok/8504401
Eschenz;8506138.0;47.6372317307, 8.87296115759;http://lod.opentransportdata.swiss/didok/8506138
Epesses;8501125.0;46.4522518449, 6.57884375065;http://lod.opentransportdata.swiss/didok/8501125
Ennenda;8503231.0;47.0321753852, 9.01317359471;http://lod.opentransportdata.swiss/didok/8503231
Erlen;8506107.0;47.552352479, 9.23725700646;http://lod.opentransportdata.swiss/didok/8506107
Dagmersellen;8502004.0;47.2144801613, 8.01110847221;http://lod.opentransportdata.swiss/didok/8502004
Diessenhofen;8503428.0;47.6824140141, 8.74600439853;http://lod.opentransportdata.swiss/didok/8503428
les deurres;8504231.0;47.0106288909, 6.93893723385;http://lod.opentransportdata.swiss/didok/8504231
Delémont;8500109.0;47.3764226768, 7.33382841822;http://lod.opentransportdata.swiss/didok/8500109
Däniken;8502111.0;47.3505969047, 7.97650669731;http://lod.opentransportdata.swiss/didok/8502111
Dietfurt;8506202.0;47.3619588936, 9.07999633274;http://lod.opentransportdata.swiss/didok/8506202
Dinhard;8506021.0;47.5591691113, 8.76424101248;http://lod.opentransportdata.swiss/didok/8506021
Ebikon;8502200.0;47.0796233032, 8.33264201479;http://lod.opentransportdata.swiss/didok/8502200
Eiken;8500304.0;47.5384925179, 7.99020423797;http://lod.opentransportdata.swiss/didok/8500304
Elgg;8506014.0;47.4927570851, 8.86573380801;http://lod.opentransportdata.swiss/didok/8506014
Kloten Balsberg;8503309.0;47.4315360705, 8.5730568092;http://lod.opentransportdata.swiss/didok/8503309
Kaiserstuhl AG;8503413.0;47.559707218, 8.40584915871;http://lod.opentransportdata.swiss/didok/8503413
Kreuzlingen;8506131.0;47.6411934953, 9.17396510841;http://lod.opentransportdata.swiss/didok/8506131
Hunzenschwil;8502104.0;47.3855766362, 8.1239241879;http://lod.opentransportdata.swiss/didok/8502104
Diesbach-Betschwanden;8503237.0;46.9284024802, 9.07907929418;http://lod.opentransportdata.swiss/didok/8503237
