didok85;Name;URL;geopos;lod;Linie;Linienname;Betriebspunkt
8507080.0;Bern Holligen;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G371.pdf;46.9489028306, 7.40730463004;http://lod.opentransportdata.swiss/didok/8507080;371.0;Bern - Belp - Thun;HOL
8516951.0;Breitenacker (Spw);http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G371.pdf;46.9056189406, 7.39874399407;http://lod.opentransportdata.swiss/didok/8516951;371.0;Bern - Belp - Thun;BREI
8515629.0;Thun (Abzw);http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G371.pdf;46.7478987583, 7.62319654498;http://lod.opentransportdata.swiss/didok/8515629;371.0;Bern - Belp - Thun;THAB
8507084.0;Moos;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G372.pdf;46.9056189406, 7.39874399407;http://lod.opentransportdata.swiss/didok/8507084;372.0;Bern - Schwarzenburg;MOOS
8507087.0;Mittelhäusern;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G372.pdf;46.9056189406, 7.39874399407;http://lod.opentransportdata.swiss/didok/8507087;372.0;Bern - Schwarzenburg;MHN
8507088.0;Lanzenhäusern;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G372.pdf;46.8233594696, 7.35498637325;http://lod.opentransportdata.swiss/didok/8507088;372.0;Bern - Schwarzenburg;LH
8518576.0;Bern Weyermannshaus (Spw) BLS;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G381.pdf;46.9489028306, 7.40730463004;http://lod.opentransportdata.swiss/didok/8518576;381.0;Bern - Neuchâtel;BWMB
8507080.0;Bern Holligen;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G381.pdf;46.9489028306, 7.40730463004;http://lod.opentransportdata.swiss/didok/8507080;381.0;Bern - Neuchâtel;HOL
8504495.0;Bern Stöckacker;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G381.pdf;46.9489028306, 7.40730463004;http://lod.opentransportdata.swiss/didok/8504495;381.0;Bern - Neuchâtel;BNST
8504492.0;Niederbottigen BN;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G381.pdf;46.9489028306, 7.40730463004;http://lod.opentransportdata.swiss/didok/8504492;381.0;Bern - Neuchâtel;NBT
8504400.0;Kerzers;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G381.pdf;46.9825251581, 7.19964088928;http://lod.opentransportdata.swiss/didok/8504400;381.0;Bern - Neuchâtel;KZ
8515668.0;Mitholz (Spw);http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G391.pdf;46.5374460789, 7.67786003632;http://lod.opentransportdata.swiss/didok/8515668;391.0;Spiez - Frutigen - Visp - Brig;MITH
8501606.0;Gamsen SBB;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G391.pdf;46.2895968118, 7.97996640051;http://lod.opentransportdata.swiss/didok/8501606;391.0;Spiez - Frutigen - Visp - Brig;GAMS
8515386.0;Basel SBB Nordost (Abzw);http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G412.pdf;47.5591452444, 7.59458004936;http://lod.opentransportdata.swiss/didok/8515386;412.0;Basel SBB - Frenkendorf-F. - Olten VL;BSNO
8500020.0;Muttenz;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G412.pdf;47.5262386939, 7.65002525926;http://lod.opentransportdata.swiss/didok/8500020;412.0;Basel SBB - Frenkendorf-F. - Olten VL;MU
8500022.0;Frenkendorf-Füllinsdorf;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G412.pdf;47.5023675725, 7.69804836124;http://lod.opentransportdata.swiss/didok/8500022;412.0;Basel SBB - Frenkendorf-F. - Olten VL;FRE
8500028.0;Tecknau;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G412.pdf;47.4467932066, 7.89072048934;http://lod.opentransportdata.swiss/didok/8500028;412.0;Basel SBB - Frenkendorf-F. - Olten VL;TK
8502007.0;Sursee;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G421.pdf;47.1562407366, 8.10800420369;http://lod.opentransportdata.swiss/didok/8502007;421.0;Olten - Sursee - Luzern;SS
8517111.0;Sursee Süd (Spw);http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G421.pdf;47.1562407366, 8.10800420369;http://lod.opentransportdata.swiss/didok/8517111;421.0;Olten - Sursee - Luzern;SSS
